[00:01:27] [main/INFO]: Launching wrapped minecraft {net.minecraft.server.MinecraftServer}
[00:01:31] [Server thread/INFO]: MinecraftForge v10.13.4.1448 Initialized
[00:01:31] [Server thread/INFO]: Replaced 183 ore recipies
[00:01:31] [Server thread/INFO]: Found 0 mods from the command line. Injecting into mod discoverer
[00:01:31] [Server thread/INFO]: Searching /home/root/multicraft/servers/server435620/mods for mods
[00:01:31] [Server thread/INFO]: Also searching /home/root/multicraft/servers/server435620/mods/1.7.10 for mods
[00:01:33] [Server thread/INFO]: Forge Mod Loader has identified 38 mods to load
[00:01:35] [Server thread/INFO]: Preparing to take over the world
[00:01:37] [Server thread/INFO]: Designs found: Bed(6), Chisel(9), FlowerPot(18), Tile(13)
[00:01:37] [Server thread/INFO]: Mantle (1.7.10-0.3.2.jenkins184) -- Preparing for launch.
[00:01:38] [Server thread/INFO]: Gear module active. Adding gear cast.
[00:01:38] [Server thread/INFO]: Twilight Forest Detected
[00:01:38] [Server thread/INFO]: Thaumcraft Detected
[00:01:42] [Server thread/INFO]: Applying holder lookups
[00:01:42] [Server thread/INFO]: Holder lookups applied
[00:01:42] [Server thread/INFO]: Injecting itemstacks
[00:01:42] [Server thread/INFO]: Loading properties
[00:01:42] [Server thread/INFO]: Default game type: SURVIVAL
[00:01:42] [Server thread/INFO]: Server Ping Player Sample Count: 12
[00:01:42] [Server thread/INFO]: Using 4 threads for Netty based IO
[00:01:43] [Server thread/INFO]: Thaumcraft detected. Registering harvestables.
[00:01:43] [Server thread/INFO]: InfernalMobsCore load() completed! Modifiers ready: 27
[00:01:43] [Server thread/INFO]: Injecting itemstacks
[00:01:43] [Server thread/INFO]: ## Chest items register ##
[00:01:43] [Server thread/INFO]: Loading Manual XML from: /assets/mantle/manuals/test.xml
[00:01:43] [Server thread/INFO]: Thaumcraft detected. Adding thaumium tools.
[00:01:44] [Server thread/INFO]: item.apple0: 15: 1: 3
[00:01:44] [Server thread/INFO]: item.appleGold0: 1: 1: 1
[00:01:44] [Server thread/INFO]: item.arrow0: 30: 2: 7
[00:01:44] [Server thread/INFO]: item.book0: 20: 1: 3
[00:01:44] [Server thread/INFO]: item.bread0: 14: 1: 1
[00:01:44] [Server thread/INFO]: item.bucket0: 10: 1: 1
[00:01:44] [Server thread/INFO]: item.coal0: 10: 3: 8
[00:01:44] [Server thread/INFO]: item.compass0: 1: 1: 1
[00:01:44] [Server thread/INFO]: item.dyePowder.blue4: 5: 4: 9
[00:01:44] [Server thread/INFO]: item.emerald0: 2: 1: 3
[00:01:44] [Server thread/INFO]: item.emptyMap0: 1: 1: 1
[00:01:44] [Server thread/INFO]: item.enchantedBook0: 1: 1: 1
[00:01:44] [Server thread/INFO]: item.enderPearl0: 10: 1: 1
[00:01:44] [Server thread/INFO]: item.horsearmorgold0: 1: 1: 1
[00:01:44] [Server thread/INFO]: item.horsearmormetal0: 1: 1: 1
[00:01:44] [Server thread/INFO]: item.ingotGold0: 5: 1: 3
[00:01:44] [Server thread/INFO]: item.nameTag0: 10: 1: 1
[00:01:44] [Server thread/INFO]: item.paper0: 20: 2: 7
[00:01:44] [Server thread/INFO]: item.record0: 10: 1: 1
[00:01:44] [Server thread/INFO]: item.rottenFlesh0: 16: 3: 7
[00:01:44] [Server thread/INFO]: item.saddle0: 2: 1: 1
[00:01:44] [Server thread/INFO]: item.seeds_pumpkin0: 10: 2: 4
[00:01:44] [Server thread/INFO]: item.string0: 10: 1: 4
[00:01:44] [Server thread/INFO]: item.sulphur0: 10: 1: 4
[00:01:44] [Server thread/INFO]: tile.obsidian0: 5: 3: 7
[00:01:44] [Server thread/INFO]: tile.rail0: 1: 4: 8
[00:01:44] [Server thread/INFO]: tile.sapling.oak0: 5: 3: 7
[00:01:44] [Server thread/INFO]: Total Weight: 375
[00:01:44] [Server thread/INFO]: TwilightForestMod mod found.
[00:01:44] [Server thread/INFO]: Success in registering ThaumicTinkerer
[00:01:44] [Server thread/INFO]: Forge Mod Loader has successfully loaded 38 mods
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:ivy
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:wisteria
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:gemOre
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:hell_blood
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:logs3
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:logs2
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:logs1
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:logs4
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:driedDirt
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:darkStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:bopGrass
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:hardDirt
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:mudBricks
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:petals
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:newBopGrass
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:newBopDirt
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:ash
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:mushrooms
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:planks
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:sacredoakStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:flowers2
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:foliage
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:woodenSingleSlab2
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:woodenSingleSlab1
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:turnip
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:cragRock
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:moss
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:mudBricksStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:grave
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:originGrass
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:saplings
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:rocks
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:hellBarkStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:firStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:biomeBlock
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:pineStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:mahoganyStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:colorizedLeaves1
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:colorizedLeaves2
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:jacarandaStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:mangroveStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:crystal
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:flowers
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:hive
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:overgrownNetherrack
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:leaves1
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:leaves2
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:leaves3
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:leaves4
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:hardSand
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:appleLeaves
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:willow
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:etherealStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:flowerVine
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:plants
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:colorizedSaplings
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:magicStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:coral2
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:coral1
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:hardIce
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:treeMoss
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:palmStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:redwoodStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:flesh
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:cherryStairs
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:bamboo
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:woodenDoubleSlab2
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:woodenDoubleSlab1
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:mud
[00:01:45] [Server thread/INFO]: Found a missing id from the world BiomesOPlenty:willowStairs
